"NMDS1","NMDS2","Lake","Year","FishStatus"
-0.80476261291876,0.2871252532143,"Pipit",2013,"Absent"
-0.65106979563475,0.539515246671359,"Pipit",2022,"Absent"
0.256030426672848,-1.45610712055827,"Snowflake",1966,"Stocked"
0.0874154485298457,-0.842902363786142,"Snowflake",1967,"Stocked"
0.35350743449221,-0.798312820885181,"Snowflake",1968,"Stocked"
0.323933366775558,-0.785261322374621,"Snowflake",1969,"Stocked"
0.595610992360214,-0.793468991641086,"Snowflake",1970,"Stocked"
0.554757286247703,-0.549992752738839,"Snowflake",1971,"Stocked"
1.44627712025273,-0.495874330114522,"Snowflake",1972,"Stocked"
1.61718846367603,-0.426959708536452,"Snowflake",1973,"Stocked"
1.798388733793,-0.510132959963209,"Snowflake",1974,"Stocked"
1.63574721272064,-0.563670873741481,"Snowflake",1975,"Stocked"
1.47643636910998,-0.649713610975881,"Snowflake",1977,"Stocked"
1.77175194285081,-0.523236377001661,"Snowflake",1979,"Decline"
1.45340444335549,0.649369721803601,"Snowflake",1991,"Decline"
1.29219770097845,0.369545478604959,"Snowflake",1992,"Absent"
1.12959852764149,0.391665992436227,"Snowflake",1993,"Absent"
0.654816793213123,0.247602532973165,"Snowflake",1994,"Absent"
0.500308486702794,0.403074847239654,"Snowflake",1995,"Absent"
-0.136314743326209,0.145706945029425,"Snowflake",1996,"Absent"
-0.34782664192195,-0.028287283017219,"Snowflake",1997,"Absent"
-0.2095120599836,0.146799328455399,"Snowflake",1998,"Absent"
-0.194903759991067,-0.52968063232085,"Snowflake",1999,"Absent"
-0.256436147112957,-0.282727905762182,"Snowflake",2000,"Absent"
-0.0587371947863935,-0.41721865211611,"Snowflake",2001,"Absent"
-0.0669062484772816,-0.479091605912383,"Snowflake",2002,"Absent"
0.0517256621511554,-0.437780059677654,"Snowflake",2003,"Absent"
-0.217080918706105,-0.461269315340672,"Snowflake",2004,"Absent"
-0.0112644469783919,-0.465317376872675,"Snowflake",2005,"Absent"
-0.142909930035473,-0.438244401829796,"Snowflake",2006,"Absent"
