"","Trophic.Group_Carnivore","Trophic.Group_Herbivore","Trophic.Group_Omnivore","Feeding.Method_Filtration","Feeding.Method_Raptorial","Body.Size_L","Body.Size_M","Body.Size_S","Reproduction_Facultative.asexual","Reproduction_Obligate.sexual","Pigmentation_NO","Pigmentation_YES","Motility_Rapid","Motility_Slow"
"Big00",0.24150268358248,0.469588550938296,0.288908765479224,0.469588550938296,0.530411449061704,0.469588550938296,0.24150268358248,0.288908765479224,0.469588550938296,0.530411449061704,0.530411449061704,0.469588550938296,0.530411449061704,0.469588550938296
"Big01",0.16931526397028,0.220271041377522,0.610413694652198,0.220271041377522,0.779728958622478,0.220271041377522,0.16931526397028,0.610413694652198,0.220271041377522,0.779728958622478,0.779728958622478,0.220271041377522,0.779728958622478,0.220271041377522
"Big02",0.0327352942035437,0.339133617465564,0.628131088330892,0.339505455477982,0.660494544522018,0.339319536759251,0.0324564155504917,0.628224047690257,0.339040658106199,0.660959341893801,0.660494544522018,0.339505455477982,0.660959341893801,0.339040658106199
"Big03",0.111155773437385,0.0650459777045869,0.823798248858029,0.0654424316147411,0.934557568385259,0.0654424316147411,0.11075931952723,0.823798248858029,0.0650459777045869,0.934954022295413,0.934557568385259,0.0654424316147411,0.934954022295413,0.0650459777045869
"Big04",0.0749004548499915,0.0869047897432528,0.838194755406756,0.0923709444132344,0.907629055586766,0.0922413590067175,0.0695992271882097,0.838159413805073,0.0869047897432528,0.913095210256747,0.907629055586766,0.0923709444132344,0.913095210256747,0.0869047897432528
"Big05",0.065904557039718,0.868039902372819,0.0660555405874632,0.933944459412537,0.0660555405874632,0.933944459412537,0,0.0660555405874632,0.868039902372819,0.131960097627181,0.0660555405874632,0.933944459412537,0.131960097627181,0.868039902372819
"Big06",0.20786516876707,0.773720349349039,0.018414481883891,0.981585518116109,0.018414481883891,0.981273408469613,0,0.0187265915303865,0.773720349349039,0.226279650650961,0.018414481883891,0.981585518116109,0.226279650650961,0.773720349349039
"Big09",0.522727272727273,0.477272727272727,0,1,0,1,0,0,0.477272727272727,0.522727272727273,0,1,0.522727272727273,0.477272727272727
"Big13",0.0786516841959749,0.917602997729596,0.00374531807442896,0.996254681925571,0.00374531807442896,0.996254681925571,0,0.00374531807442896,0.917602997729596,0.0823970022704039,0.00374531807442896,0.996254681925571,0.0823970022704039,0.917602997729596
"Big22",0.857519788964709,0.142480211035291,0,1,0,1,0,0,0.142480211035291,0.857519788964709,0,1,0.857519788964709,0.142480211035291
"Har66",0.986517947571258,0.0134820524287424,0,0.0134820524287424,0.986517947571258,2.63064437633998e-05,0.999973693556237,0,0.0134820524287424,0.986517947571258,0.986491641127494,0.0135083588725058,0.986517947571258,0.0134820524287424
"Har67",0.989217087886792,0.0107829121132085,0,0.0107829121132085,0.989217087886792,9.69250527029974e-05,0.999903074947297,0,0.0107829121132085,0.989217087886792,0.989120162834089,0.0108798371659115,0.989217087886792,0.0107829121132085
"Har72",0.92539039907461,0.0746096009253904,0,0.0746096009253904,0.92539039907461,0,1,0,0.0746096009253904,0.92539039907461,0.92539039907461,0.0746096009253904,0.92539039907461,0.0746096009253904
"Har77",0.905874026893135,0.0856334041047417,0.00849256900212314,0.0856334041047417,0.914366595895258,0,0.99174333569238,0.00825666430761972,0.0856334041047417,0.914366595895258,0.914366595895258,0.0856334041047417,0.914366595895258,0.0856334041047417
"Har96",0.258175448765301,0.035798681648644,0.706025869586055,0.035798681648644,0.964201318351356,0.000165830601661551,0.293808299812284,0.706025869586055,0.035798681648644,0.964201318351356,0.964035487749694,0.0359645122503055,0.964201318351356,0.035798681648644
"Har97",0.0802000786833166,0.0162985443705615,0.903501376946122,0.0162985443705615,0.983701455629439,1.87339629508046e-05,0.0964798890909272,0.903501376946122,0.0162985443705615,0.983701455629439,0.983682721666488,0.0163172783335123,0.983701455629439,0.0162985443705615
"Har98",0.134113653017604,0.121401602192066,0.744484744790329,0.121401602192066,0.878598397807934,0.000121356089999599,0.255396933011064,0.744481710898936,0.121401602192066,0.878598397807934,0.878477041717934,0.121522958282066,0.878598397807934,0.121401602192066
"Har99",0.124741814542494,0.0596111148617598,0.815647070595746,0.0596111148617598,0.94038888513824,0,0.184352929404254,0.815647070595746,0.0596111148617598,0.94038888513824,0.94038888513824,0.0596111148617598,0.94038888513824,0.0596111148617598
"Har01",0.0906838264498676,0.0916533814897306,0.817662792060402,0.0916533814897306,0.908346618510269,0.000544932389234199,0.181716787065268,0.817738280545498,0.0916533814897306,0.908346618510269,0.907801686121035,0.0921983138789648,0.908346618510269,0.0916533814897306
"Har02",0.0682781320980403,0.01786810465515,0.91385376324681,0.0186944555391546,0.981305544460845,0.000910297638249794,0.0852359391149405,0.91385376324681,0.0177841579009048,0.982215842099095,0.9812215977066,0.0187784022933998,0.982215842099095,0.0177841579009048
"Har03",0.0363549673043045,0.0421319491336841,0.921513083562011,0.0421319491336841,0.957868050866316,3.07832045794403e-05,0.0784739190917135,0.921495297703707,0.0421319491336841,0.957868050866316,0.957837267661736,0.0421627323382635,0.957868050866316,0.0421319491336841
"Har04",0.0371043325657301,0.0351885900084506,0.927707077425819,0.0351885900084506,0.964811409991549,0,0.0723172130255715,0.927682786974428,0.0351885900084506,0.964811409991549,0.964811409991549,0.0351885900084506,0.964811409991549,0.0351885900084506
"Har05",0.0912661258244325,0.078957162784492,0.829776711391076,0.078957162784492,0.921042837215508,6.91536701595522e-05,0.170143645357939,0.829787200971901,0.078957162784492,0.921042837215508,0.920973683545349,0.0790263164546516,0.921042837215508,0.078957162784492
"Har06",0.00741839763410028,0.232443125647072,0.760138476718827,0.232443125647072,0.767556874352928,0,0.239861523281173,0.760138476718827,0.232443125647072,0.767556874352928,0.767556874352928,0.232443125647072,0.767556874352928,0.232443125647072
"Har09",0.0198039608011108,0.125225045009907,0.854970994188982,0.125225045009907,0.874774954990093,0,0.145029005811018,0.854970994188982,0.125225045009907,0.874774954990093,0.874774954990093,0.125225045009907,0.874774954990093,0.125225045009907
"Har15",0,0.0481586089275243,0.951841391072476,0.0481586089275243,0.951841391072476,0,0.0764871781183518,0.923512821881648,0.0481586089275243,0.951841391072476,0.951841391072476,0.0481586089275243,0.951841391072476,0.0481586089275243
"Har22",0,0.331306990938134,0.668693009061866,0.331306990938134,0.668693009061866,0,0.330438558457398,0.669561441542603,0.331306990938134,0.668693009061866,0.668693009061866,0.331306990938134,0.668693009061866,0.331306990938134
"Pip66",0.909090909090909,0.0909090909090909,0,1,0,1,0,0,0.0909090909090909,0.909090909090909,0,1,0.909090909090909,0.0909090909090909
"Pip67",0.676470588235294,0,0.323529411764706,0.676470588235294,0.323529411764706,0.676470588235294,0,0.323529411764706,0,1,0.323529411764706,0.676470588235294,1,0
"Pip68",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Pip69",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Pip71",0,0.142857142857143,0.857142857142857,0.142857142857143,0.857142857142857,0,0,1,0.142857142857143,0.857142857142857,0.857142857142857,0.142857142857143,0.857142857142857,0.142857142857143
"Pip72",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Pip77",0,0.0476190476190476,0.952380952380952,0.0476190476190476,0.952380952380952,0,0,1,0.0476190476190476,0.952380952380952,0.952380952380952,0.0476190476190476,0.952380952380952,0.0476190476190476
"Pip91",0.934723866596224,0.0170656569602922,0.0482104764434835,0.951789523556516,0.0482104764434835,0.950651812481305,0,0.049348187518695,0.0170656569602922,0.982934343039708,0.0482104764434835,0.951789523556516,0.982934343039708,0.0170656569602922
"Pip92",0.939308681348209,0.0333601286612983,0.0273311899904929,0.972668810009507,0.0273311899904929,0.972668810009507,0,0.0273311899904929,0.0333601286612983,0.966639871338702,0.0273311899904929,0.972668810009507,0.966639871338702,0.0333601286612983
"Pip93",0.867924528987881,0.12633306052234,0.00574241048977922,0.994257589510221,0.00574241048977922,0.994257589510221,0,0.00574241048977922,0.12633306052234,0.87366693947766,0.00574241048977922,0.994257589510221,0.87366693947766,0.12633306052234
"Pip94",0.887775215220076,0.0152484796140157,0.0969763051659085,0.903023694834092,0.0969763051659085,0.903023694834092,0,0.0969763051659085,0.0152484796140157,0.984751520385984,0.0969763051659085,0.903023694834092,0.984751520385984,0.0152484796140157
"Pip95",0.988775259129387,0.005770514750858,0.0054542261197547,0.994545773880245,0.0054542261197547,0.994545773880245,0,0.0054542261197547,0.005770514750858,0.994229485249142,0.0054542261197547,0.994545773880245,0.994229485249142,0.005770514750858
"Pip96",0.813115113642529,0.0827096524935652,0.104175233863905,0.895824766136095,0.104175233863905,0.895824766136095,0,0.104175233863905,0.0827096524935652,0.917290347506435,0.104175233863905,0.895824766136095,0.917290347506435,0.0827096524935652
"Pip97",0.867924528387948,0.0399999994526516,0.0920754721594006,0.907924527840599,0.0920754721594006,0.907924527840599,0,0.0920754721594006,0.0399999994526516,0.960000000547348,0.0920754721594006,0.907924527840599,0.960000000547348,0.0399999994526516
"Pip98",0.688197298289726,0.263652377908215,0.0481503238020586,0.951849676197941,0.0481503238020586,0.951849676197941,0,0.0481503238020586,0.263652377908215,0.736347622091785,0.0481503238020586,0.951849676197941,0.736347622091785,0.263652377908215
"Pip99",0.850280223985637,0.0240192150825133,0.12570056093185,0.874299439068151,0.12570056093185,0.874299439068151,0,0.12570056093185,0.0240192150825133,0.975980784917487,0.12570056093185,0.874299439068151,0.975980784917487,0.0240192150825133
"Pip00",0.923159017895635,0.0539716421435989,0.0228693399607661,0.977130660039234,0.0228693399607661,0.977130660039234,0,0.0228693399607661,0.0539716421435989,0.946028357856401,0.0228693399607661,0.977130660039234,0.946028357856401,0.0539716421435989
"Pip01",0.75510962448612,0.198757764344042,0.0461326111698381,0.953867388830162,0.0461326111698381,0.953867388830162,0,0.0461326111698381,0.198757764344042,0.801242235655958,0.0461326111698381,0.953867388830162,0.801242235655958,0.198757764344042
"Pip02",0.549996700999755,0.0566284671015371,0.393374831898708,0.584750236627821,0.415249763372179,0.58351846594073,0.0231067021605622,0.393374831898708,0.0553966964144453,0.944603303585555,0.415249763372179,0.584750236627821,0.944603303585555,0.0553966964144453
"Pip03",0.766097993513069,0.219558861470214,0.0143431450167176,0.985151565381563,0.014848434618437,0.985151565381563,0.00050528960171938,0.0143431450167176,0.219558861470214,0.780441138529786,0.014848434618437,0.985151565381563,0.780441138529786,0.219558861470214
"Pip04",0.870375527921772,0.0704901205692376,0.059134351508991,0.940865648491009,0.059134351508991,0.940865648491009,0,0.059134351508991,0.0704901205692376,0.929509879430762,0.059134351508991,0.940865648491009,0.929509879430762,0.0704901205692376
"Pip05",0.542230253076444,0.450051626341171,0.00771812058238416,0.992281879417616,0.00771812058238416,0.986667527062713,0.00438822905424165,0.0089442438830458,0.44566339728693,0.55433660271307,0.00771812058238416,0.992281879417616,0.55433660271307,0.44566339728693
"Pip06",0.708747514838876,0.288767396127871,0.00248508903325376,0.997514910966746,0.00248508903325376,0.995526839139384,0.000497018207156972,0.00397614265345913,0.288270377920714,0.711729622079286,0.00248508903325376,0.997514910966746,0.711729622079286,0.288270377920714
"Pip07",0.468841761873708,0.53050570873436,0.000652529391932808,0.999347470608067,0.000652529391932808,0.999347470608067,0,0.000652529391932808,0.53050570873436,0.46949429126564,0.000652529391932808,0.999347470608067,0.46949429126564,0.53050570873436
"Pip08",0.732211869193536,0.267788130806464,0,1,0,1,0,0,0.267788130806464,0.732211869193536,0,1,0.732211869193536,0.267788130806464
"Pip09",0.903225806451613,0.0645161290322581,0.032258064516129,0.967741935483871,0.032258064516129,0.967741935483871,0,0.032258064516129,0.0645161290322581,0.935483870967742,0.032258064516129,0.967741935483871,0.935483870967742,0.0645161290322581
"Pip13",0.895470383822661,0.104529616177339,0,1,0,1,0,0,0.104529616177339,0.895470383822661,0,1,0.895470383822661,0.104529616177339
"Pip22",0.626292466738324,0.373707533261676,0,1,0,1,0,0,0.373707533261676,0.626292466738324,0,1,0.626292466738324,0.373707533261676
"Sno66",0.00761244579254504,0.992387554207455,0,1,0,0.00761244579254504,0.992387554207455,0,0.00102870889088447,0.998971291109116,0,1,0.998971291109116,0.00102870889088447
"Sno67",0.348015225600007,0.634584013544137,0.0174007608558568,0.982599239144143,0.0174007608558568,0.348015225600007,0.634584013544137,0.0174007608558568,0.00235635327998101,0.997643646720019,0.0174007608558568,0.982599239144143,0.997643646720019,0.00235635327998101
"Sno68",0.301237477814154,0.582793164603062,0.115969357582784,0.884030642417216,0.115969357582784,0.301237477814154,0.582793164603062,0.115969357582784,0.00153211534517741,0.998467884654823,0.115969357582784,0.884030642417216,0.998467884654823,0.00153211534517741
"Sno69",0.30402631372687,0.58163253213143,0.1143411541417,0.8856588458583,0.1143411541417,0.30402631372687,0.581171097424493,0.114802588848636,0.00046143470693655,0.999538565293064,0.1143411541417,0.8856588458583,0.999538565293064,0.00046143470693655
"Sno70",0.147053157675222,0.378581001668593,0.474365840656186,0.520457888093443,0.479542111906557,0.141876886424851,0.374103233193667,0.484019880381483,0.00965403972529681,0.990345960274703,0.479542111906557,0.520457888093443,0.990345960274703,0.00965403972529681
"Sno71",0.2807640477857,0.0497025316769802,0.669533420537319,0.307997881909434,0.692002118090566,0.258295350232454,0.0721712292302263,0.669533420537319,0,1,0.692002118090566,0.307997881909434,1,0
"Sno72",0.986216965262725,0.0132633871078554,0.000519647629419577,0.0132633871078554,0.986736612892145,0,0.999430862125109,0.000569137874891464,4.9490245471887e-05,0.999950509754528,0.986736612892145,0.0132633871078554,0.999950509754528,4.9490245471887e-05
"Sno73",0.992701614124345,0.0072378183580146,6.05675176402895e-05,0.0072378183580146,0.992762181641985,0,0.99993943248236,6.05675176402895e-05,0,1,0.992762181641985,0.0072378183580146,1,0
"Sno74",0.988697594953345,0.0113024050466553,0,0.0113024050466553,0.988697594953345,0,1,0,0,1,0.988697594953345,0.0113024050466553,1,0
"Sno75",0.993899843949496,0.00610015605050362,0,0.00610015605050362,0.993899843949496,0,0.999432543623209,0.000567456376791034,0.00099304865938431,0.999006951340616,0.993899843949496,0.00610015605050362,0.999006951340616,0.00099304865938431
"Sno77",0.989258861439313,0.0107411385606874,0,0.0107411385606874,0.989258861439313,0,0.997851772287863,0.00214822771213749,0.00322234156820623,0.996777658431794,0.989258861439313,0.0107411385606874,0.996777658431794,0.00322234156820623
"Sno78",0.169491525423729,0.830508474576271,0,0.830508474576271,0.169491525423729,0,1,0,0.830508474576271,0.169491525423729,0.169491525423729,0.830508474576271,0.169491525423729,0.830508474576271
"Sno79",0.984395508239755,0.015604491760245,0,0.015604491760245,0.984395508239755,0,1,0,0,1,0.984395508239755,0.015604491760245,1,0
"Sno91",0.244723666016463,0.148908338859574,0.606367995123963,0.148908338859574,0.851091661140426,0,0.393632004876037,0.606367995123963,0.14834310391331,0.85165689608669,0.851091661140426,0.148908338859574,0.85165689608669,0.14834310391331
